feels like…,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
my whole body can be in pain at the same time. ,,[],['sensory'],sensory,
a storm that passes through your body ,,[],[],,
agonising,,[],[],,
amnesia ...because my talking brain stops being charge an,,[],[],,
pushing everything out and away,,[],[],,
someone gripping the botto,,[],[],,
a whole body pain,,[],['sensory'],sensory,
being ripped out ,,[],[],,
burst out ,,[],[],,
claws around my womb,,[],[],,
I'm doomed,,[],[],,
having a hot poker planted inside of your stomach,metaphorical,['heat_temperature'],['sensory'],sensory,
I had a balloon,,[],[],,
I lose my sense of self,,[],[],,
I was trying to give birth to a pineapple,,[],[],,
I had an operation ...just a general tenderness,,[],[],,
I'm in labour …I'm giving birth,,[],[],,
I've been run over,,[],[],,
"I've just done a 12 hour shift on the ward, when I've just woken up",,[],[],,
l'm going to shit out my insides ,,[],[],,
a hot poker or ,metaphorical,['heat_temperature'],['sensory'],sensory,
 a knife being shoved inside me,metaphorical,['violence_with_object'],[],,
it radiates to my knee ,,[],[],,
a muscular pain,,[],['sensory'],sensory,
tunnel vision,,[],[],,
it's very mechanical,,[],[],,
unnatural for the environment,metaphorical,['transformative_state'],[],,
sort of beyond human consciousness ,,[],[],,
someone's just opened turned all the lights on. And you can see and breathe ,,[],[],,low
somebody's twisting me,,[],['sensory'],sensory,
scraping,,[],[],,
two discs or cogs or something like that,metaphorical,['violence_with_object'],[],,
radiating from the centre,,[],[],,
machine. ,metaphorical,['violence_with_object'],[],,
metal against metal,metaphorical,['violence_with_object'],[],,
sparks even,,[],[],,
 just like grinding against,metaphorical,['violence_with_object'],[],,
my insides were being pulled out through me,,[],[],,
my ovary is going ba boom ba boom ba boom,,[],[],,
my womb is going to explode,,[],['affective'],affective,high
possesses you  ,,[],[],,
ripped out ,,[],[],,
my insides were trying to kill me ,,[],[],,
somebody has taken hold of the inside of my ribcage and sort of my right side and is just like ,,[],[],,
somebody putting barbed wire through your belly button,,[],[],,
 in a figure of eight around your pelvis ,,[],[],,
having a hot poker planted inside of your stomach,metaphorical,['heat_temperature'],['sensory'],sensory,
somebody wants to make it explode somehow,,[],['affective'],affective,high
somebody's given you an electric shock,,[],[],,
somebody's twisting me,,[],['sensory'],sensory,
someone gripping the bottom of my spine ,,[],[],,
and crushing my spine continuously for two years,metaphorical,['weight_pressure'],['sensory'],sensory,
someone had shoved a poker up your backside ,,[],[],,
"someone is in your insides, pulling everything to bits ",,[],[],,
"someone putting a knitting needle through front to back, just straight through",metaphorical,['violence_with_object'],[],,
someone putting an iron to your back and it's hot and it actually feels like your skin's,simile,['heat_temperature'],['sensory'],sensory,
someone squeezing your insides,,[],[],,
someone was twisting a knife inside me and...kind of winded me,metaphorical,['violence_with_object'],['sensory'],sensory,
someone's cutting you ,,[],[],,
something's going to pop,,[],[],,
there's some kind of physical force,,[],[],,
this buzzing thing.,,[],[],,low
transcendental. Yeah yeah and nothing else matters. But not in a good way. ,,[],[],,
waves ,,[],[],,
someone punching my cervix,,[],[],,
contractions,,[],[],,
you can't hear anything,,[],[],,
something pulsing,metaphorical,['motion_forceful'],[],,
your insides are exploding,,[],[],,
somebody wants to make it explode somehow,,[],['affective'],affective,high
metal wool on the inside of your stomach ,metaphorical,['violence_with_object'],[],,
when someone has long nails against a chalk board,,[],[],,
you want to die,,[],[],,
my insides were being pulled out through me,,[],[],,
you're dragging your insides,,[],[],,
your insides are gonna fall out on the floor,,[],[],,
you're being carved out like a pumpkin,simile,[],[],,
toothache pain in your back,,[],['sensory'],sensory,
your insides are exploding,,[],[],,
your insides are gonna fall out on the floor,,[],[],,
your ovaries are just gonna like burst out  ,,[],[],,
your skin's hot but it's on the inside,metaphorical,['heat_temperature'],['sensory'],sensory,
someone is inside of me,,[],[],,
"someone's driven a knife into my side, or",metaphorical,['violence_with_object'],[],,
hammered or ,,[],[],,
 screwed ,metaphorical,['violence_with_object'],[],,
a storm that passes through your body  ,,[],[],,
Someone taking a rake to my uterus or ,,[],[],,
there is a large knife/sword just sticking in my side at all times,metaphorical,['violence_with_object'],[],,
something is stuck in my abdomen but it has no way of getting out,,[],[],,
 I've got a balloon inside me pushing on everything,,[],[],,
a slow grind ,metaphorical,['violence_with_object'],[],,
with vice grips,metaphorical,['violence_with_object'],[],,
heavy as a bowling ball ,metaphorical,['weight_pressure'],[],,
 pressing against my bowels,,[],[],,
I thought I was losing my mind,,[],['affective'],affective,
tiny men playing,,[],[],,
 tug-a-war ,,[],[],,
with barb wire,,[],[],,
a knife jabbed in your stomach,metaphorical,['violence_with_object'],[],,
I feel chained down by my flesh prison,,[],[],,
being gutted by an invisible knife for 5 days,metaphorical,['violence_with_object'],[],,
someone is squeezing or,,[],[],,
jabbing my womb and at times like my womb is trying to pull away from my body,,[],[],,
a rake or a cheese grater is scraping my insides,,[],[],,
like my abdomen is filed with blood and could burst open,,[],[],,
a heavy weight in your pelvis & upper legs is puling you down,metaphorical,['weight_pressure'],[],,
my insides are being ripped apart when i walk ,,[],[],,
knitting needles being pushed through your abdomen,metaphorical,['violence_with_object'],[],,
if I move I'll rip,,[],[],,
there's a balloon inflated inside me ,,[],[],,
 squashing everything and putting pressure on my bladder and other organs,,[],[],,
A t-rex has been unleashed on my insides,,[],[],,
my insides are swollen and trying to escape,,[],[],,
a hedgehog is running around my uterus,,[],[],,
I just want to rip my insides out,,[],[],,
there's a hot coal rollin around in my uterus,metaphorical,['heat_temperature'],['sensory'],sensory,
my internal organs try to strangle each other,,[],[],,
My insides are on fire.,metaphorical,['heat_temperature'],['sensory'],sensory,
I'm not just under the weather. I'm the Wicked Witch of the East UNDER the house the weather threw at me,metaphorical,['transformative_state'],['affective'],affective,
"a violent, sporadic, samurai sword massacre in & around your delicates. ",,[],[],,
a ninja is cutting apart my insides ,,[],[],,
a swarm of angry european wasps invade your uterus,,[],[],,
my uterus and other pelvic organs are trying to claw their way out.  ,,[],[],,
Sometimes using a white hot poker. ,metaphorical,['heat_temperature'],['sensory'],sensory,
Uterus will feel heavy,metaphorical,['weight_pressure'],[],,
you peeled a grape and the remaining flesh is painful,,[],['sensory'],sensory,
waves of cramp,,[],[],,
my internal organs have been pulverized,,[],[],,
I am in labour but without having a break between contractions,,[],[],,
my organs are going to fall out of my vagina,,[],[],,
something is bursting to get out.,,[],['sensory'],sensory,
my insides are being rung out,,[],[],,
my insides are twisting ,,[],['sensory'],sensory,
when I walk then ripping inside me,,[],[],,
Insides falling out ,,[],[],,
while on fire ,metaphorical,['heat_temperature'],['sensory'],sensory,
with acid.,,[],[],,
and twisting them around and around. ,,[],['sensory'],sensory,
there's a demon inside trying to claw it's way out.,,[],[],,
a stitch I got years ago. ,,[],[],,
lots of needles cramping up inside of my pelvis,metaphorical,['violence_with_object'],[],,
somebody is pulling your pelvic down so strongly,,[],[],,
sharp knives or ,,[],[],,medium
an electric shock playing in the pelvic area.,,[],[],,
"Glass shards,",,[],[],,
 electric shocks,,[],[],,
someone is twisting my insides and won't let their grip go. ,,[],['sensory'],sensory,
It's a warm feeling the spreads throughout the back and abdomen.,,[],[],,
someone is ripping my insides out ,,[],[],,
with barbwire ,,[],[],,
something is shuddering inside,,[],[],,
someone has shoved a sword or a poker into me jabbing away. ,,[],[],,
when a cat steps on your full bladder but heavier and you don't need a wee.,,[],[],,
an elephant is sitting on my abdomen sometimes,,[],[],,
"a toxic, flesh-eating pufferfish ",,[],[],,
"pulsating inside me,",,[],[],,
 scraping away at me. ,,[],[],,
an army of molten spiders are strolling around ,metaphorical,['heat_temperature'],[],,
an army of molten spiders are strolling around ,metaphorical,['heat_temperature'],[],,
an army of molten spiders are strolling around ,metaphorical,['heat_temperature'],[],,
 with flame torches closely examining the damage on the walls of my womb.,,[],[],,
labor ,,[],[],,
someone has a hold of your pelvis/cervix and are pulling really hard.,,[],[],,
 ripped apart,,[],[],,
 punched all at once. ,,[],[],,
It burns like the skin is being pulled away.,metaphorical,['heat_temperature'],['sensory'],sensory,
someone is pushing down hard and not letting up.  ,,[],[],,
someone is squeezing my muscles and nerves and not letting go. ,,[],[],,
my insides are being ripped apart,,[],[],,
when a car I'm in goes over a bump (or even just a non-paved road). ,,[],[],,
someone with red hot pokers for fingers,metaphorical,['heat_temperature'],['sensory'],sensory,
 dug into my lower abdomen and ,,[],[],,
 is trying to pull my insides out through my vagina.,,[],[],,
"I'm being cut, over and over again in my stomach ",,[],[],,
I have loads of gnawing teeth inside trying to eat there way out. ,metaphorical,['weight_pressure'],[],,
I am about to give birth to my internal organs.,,[],[],,
something has burst and,,[],[],,
 it's destroying everything,,[],[],,
 as it spreads,,[],[],,
someone's slowly trying to rip my organs out,,[],[],,
my insides are wrapped in red-hot,metaphorical,['heat_temperature'],['sensory'],sensory,
 barbed wire. ,,[],[],,
or someone is grabbing my insides,,[],[],,
red hot pokers inside my tummy ,metaphorical,['heat_temperature'],['sensory'],sensory,
being twisted constantly ,,[],['temporal'],temporal,
"I did a million crunches, ",,[],[],,
and like i haven't slept for days ,,[],[],,
"Everything feels angry, ",,[],[],,
and on fire. ,metaphorical,['heat_temperature'],['sensory'],sensory,
Like barbed wire.,,[],[],,
there's an alien trying to get out of me.   ,,[],[],,
a skewer ,,[],[],,
has been pushed inside of me ,,[],[],,
"and speared through my ovaries, uterus etc. ",metaphorical,['violence_with_object'],[],,
being tattooed on the inside.,,[],[],,
Some scratching my insides,,[],[],,
a knife was piercing it.,metaphorical,['violence_with_object'],[],,
you just ran a marathon and need to lie down. ,,[],[],,
Sometimes it feels like a hot poker ,simile,['heat_temperature'],['sensory'],sensory,
or barbed wire is inside,,[],[],,
a charly horse ,,[],[],,
an elephant is sitting on my back or stomach,,[],[],,
I'm pregnant. ,,[],[],,
a wash cloth being rung out over and over again,,[],[],,
a hot poker ,metaphorical,['heat_temperature'],['sensory'],sensory,
is being drilled through me. ,metaphorical,['violence_with_object'],[],,
a sharp rod is being forced into my rectum. ,,[],[],,medium
I'm being turned inside out. ,,[],[],,
something inside will burst/rupture. ,,[],[],,
my pelvic area is always heavy.,metaphorical,['weight_pressure'],['temporal'],temporal,
blisters  ,,[],[],,
Braxton Hicks contractions,,[],[],,
all over body pain when inflamed,,[],['sensory'],sensory,
my lower back and stomach is trying to break free from the rest of my body,,[],[],,
my intestines were being tugged out of my anus when I had my period ,,[],[],,
Freddy kugker playing hockey in my stomach. ,,[],[],,
hockey in my stomach. ,,[],[],,
I'm trying to give birth to my spine ,,[],[],,
my insides are battling between themselves ,,[],[],,
using sharp tools. ,,[],[],,medium
somebody is strangling my womb,,[],[],,
"I become possessed by pain, like I am someone else that takes possession of my usual self",,[],['sensory'],sensory,
I am outside my body and my consciousness ,,[],[],,
my uterus/bowel is being squeezed inside a Panini press. ,,[],[],,
 And sometimes it feels like the panini press have spikes attached,simile,[],[],,
someone slowly stretching me apart some days,,[],[],,
everything is dragging ,,[],[],,
and going to fall out of me. ,,[],[],,
my ovaries are at war with each other ,,[],[],,
Barbed wire and,,[],[],,
a red hot poker up inside.,metaphorical,['heat_temperature'],['sensory'],sensory,
someone is smashing me with a hammer and glass,,[],[],,
 and glass,,[],[],,
with a hot poker. ,metaphorical,['heat_temperature'],['sensory'],sensory,
a concrete block in my stomach weighing me down. ,metaphorical,['weight_pressure'],[],,
I have  ball in blown up inside my stomach that's ready to burst ,,[],[],,
balloon,,[],[],,
 has gathered weight and is about to fall out through my bum.  ,,[],[],,
It feels like a hot poker is sitting off them .,simile,['heat_temperature'],['sensory'],sensory,
there's an iron bar put up through me. ,,[],[],,
a ball of pressure ,,[],[],,
and cutting my stomach out and body up in 10 pieces.,,[],[],,
seriously hot water dripping inside me ,metaphorical,['heat_temperature'],['sensory'],sensory,
your insides are ripped out and,,[],[],,
 and turned around,,[],[],,
someone poured petrol on me and set me on fire. ,metaphorical,['heat_temperature'],['sensory'],sensory,
Someone took a red hot poker ,metaphorical,['heat_temperature'],['sensory'],sensory,
and ripped open my section scar repeatedly.  ,,[],[],,
something is eating me from the inside out.  ,,[],[],,
A pain that radiates outwards ,,[],['sensory'],sensory,
"makes me nauseated, dizzy and dissociated from my body.  ",,[],[],,
my organs are trying to birth themselves through various orrifices. ,,[],[],,
someone took my insides and stepped on them threw them around rode a bike over them and then put back in my body. ,,[],[],,
I'm being squeezed by a cobra or some big snake and can't move until it loosens up. ,,[],[],,
a bruised feeling.,,[],[],,
tiny blisters on the inside of my body that I would do anything to take out,,[],[],,
something has ruptured,,[],[],,
it has come back with a Vengeance to Derail me. ,,[],[],,
someone is grabbing my intestines and ,,[],[],,
squeezing/,,[],[],,
twisting them.  ,,[],['sensory'],sensory,
carpet burns all over my insides.  ,metaphorical,['heat_temperature'],['sensory'],sensory,
"I have food poisoning, but I know it isn't, it is just morning with bowel endo.  ",,[],[],,
your insides are going to fall out.,,[],[],,
there is a spikey ball rattling around heading off things. ,,[],[],,
Like someone is pulling on my belly button from the inside.,,[],[],,
a dentist is picking at plaque ,,[],[],,
there is a knife scraping at my insides.,metaphorical,['violence_with_object'],[],,
a hot poker has been inserted inside of me and ,metaphorical,['heat_temperature'],['sensory'],sensory,
being waved all about and ,,[],[],,
"you have been hit by a car, ",,[],[],,
 you're internally bruised but nothing to show of it.,,[],[],,
When I have a bowel motion it feels like passing broken glass. ,simile,[],[],,
something is constantly tugging on my left ovary ,,[],['temporal'],temporal,
toothache but throughout my abdomen.,,[],[],,
Sometimes being kicked or ,,[],[],,
 or something being forcefully jammed in the vagina.,metaphorical,['violence_with_object'],[],,
having an awful bruise that is continually irritated and won't heal.,,[],[],,
 At times the ache is sharper,,[],[],,medium
something is clenching and ,,[],[],,
and yanking my whole abdomen,,[],[],,
It feels like there is a broken G as bottle ,simile,[],[],,
 getting poked ,,[],[],,
and scrapped around my pelvis.  ,,[],[],,
Sharp metal grinding against itself,metaphorical,['violence_with_object'],[],,medium
 cogs or machine parts. ,metaphorical,['violence_with_object'],[],,
 Waves of,,[],[],,
 pulsating pain.,,[],['sensory'],sensory,
 Eruptions.,,[],[],,
my inner organs are being flayed,,[],[],,
like a sharp knife in inserted and twisted in my womb,simile,['violence_with_object'],[],,medium
like a lightening,simile,[],[],,low
like a sudden deadly tearing and ripping,simile,[],['temporal'],temporal,
