descriptor,dimension,metaphor type,
a skewer ,"sensory, metaphorical",violence_with_object,
being tattooed on the inside.,"sensory, metaphorical",violence_with_object,
Some scratching my insides,"sensory, metaphorical",violence_with_object,
you just ran a marathon and need to lie down. ,"sensory, metaphorical",WEARING PHYSICAL WORK,
or barbed wire is inside,"sensory, metaphorical",violence_with_object,
a charly horse ,"sensory, metaphorical",violence_with_object,
an elephant is sitting on my back or stomach,"sensory, metaphorical",weight_pressure,
a wash cloth being rung out over and over again,"sensory, metaphorical",violent_action,
I'm being turned inside out. ,"affective, metaphorical",transformative_state,
my intestines were being tugged out of my anus when I had my period ,"sensory, metaphorical",violent_action,
Freddy kugker playing hockey in my stomach. ,"sensory, metaphorical",motion_forceful,
hockey in my stomach. ,"sensory, metaphorical",motion_forceful,
somebody is strangling my womb,"sensory, metaphorical",violent_action,
I am outside my body and my consciousness ,"affective, metaphorical",transformative_state,
someone slowly stretching me apart some days,"sensory, metaphorical",violent_action,
and going to fall out of me. ,"sensory, metaphorical",motion_forceful,
Barbed wire and,"sensory, metaphorical",violence_with_object,
 and glass,"sensory, metaphorical",violence_with_object,
a concrete block in my stomach weighing me down. ,"sensory, metaphorical",weight_pressure,
a ball of pressure ,"sensory, metaphorical",weight_pressure,
 and turned around,"sensory, metaphorical",motion_forceful,
something is eating me from the inside out.  ,"sensory, metaphorical",attacking_agents,
"makes me nauseated, dizzy and dissociated from my body.  ",sensory ,illness,
someone took my insides and stepped on them threw them around rode a bike over them and then put back in my body. ,"sensory, metaphorical",violence_with_object,
something has ruptured,"sensory, metaphorical",violent_action,
it has come back with a Vengeance to Derail me. ,"affective, metaphorical",attacking_agents,
your insides are going to fall out.,"sensory, metaphorical",confinement,
there is a spikey ball rattling around heading off things. ,"sensory, metaphorical",violence_with_object,
a dentist is picking at plaque ,"sensory, metaphorical",violence_with_object,
something is constantly tugging on my left ovary ,"sensory, metaphorical",violent_action,
Sometimes being kicked or ,"sensory, metaphorical",violent_action,
 or something being forcefully jammed in the vagina.,"sensory, metaphorical",violence_with_object,
and yanking my whole abdomen,"sensory, metaphorical",violent_action,
 getting poked ,"sensory, metaphorical",violent_action,
and scrapped around my pelvis.  ,"sensory, metaphorical",violence_with_object,
 cogs or machine parts. ,"sensory, metaphorical",violence_with_object,
 Eruptions.,"sensory, metaphorical",weight_pressure,
my inner organs are being flayed,,,
