descriptor,dimensions,metaphor_types,flag
my uterus is being stabbed,['unspecified'],['violence_with_object'],False
someone was twisting my insides,['unspecified'],['violent_action'],False
I've been kicked in the gut,"['sensory', 'metaphorical']",['violent_action'],False
coupled with burning  ,['sensory'],['heat_temperature'],False
blisters ,['unspecified'],['heat_temperature'],False
that are about to pop,"['sensory', 'metaphorical']",['weight_pressure'],False
seeth,"['sensory', 'metaphorical']",['heat_temperature'],False
someone has a hold of my insides and,['unspecified'],['confinement'],False
 is trying to wring them out like you would with with a wet towel. ,['metaphorical'],['other'],False
someone has sucker punched me square in the stomach,"['sensory', 'metaphorical']",['violent_action'],False
my insides are literally going to fall out,"['sensory', 'metaphorical']",['motion_forceful'],False
my internal organs are being squeezed and twisted,['unspecified'],['violent_action'],False
 and twisted,['unspecified'],['violent_action'],False
it is being ripped out of you body,['unspecified'],['violent_action'],False
there is a string attached from my belly button to my clitoris and when I stand/sit up that string is pulling,['unspecified'],['violent_action'],False
like my insides are tearing,['metaphorical'],"['violent_action', 'injury']",False
my insides are tearing,['unspecified'],"['violent_action', 'injury']",False
u are being squeezed around the upper abdomen,['unspecified'],['violence_with_object'],False
makes me imagine a small blade,['unspecified'],['violence_with_object'],False
my womb had blown up and i cant bear to touch the area,['unspecified'],['weight_pressure'],False
someone is stabbing me in my left side,['unspecified'],['violence_with_object'],False
someone has stabbed me ,['unspecified'],['violence_with_object'],False
my stomach and intestines were spasming,['unspecified'],['generic_ache'],False
I'm in the last stages of labour ,"['sensory', 'metaphorical']",['childbirth'],False
things are falling out of me,"['sensory', 'metaphorical']",['confinement'],False
Im rupturing it just by coughing sometimes,"['sensory', 'metaphorical']",['violent_action'],False
things are being ripped or ,['unspecified'],['violent_action'],False
 like I'm being stabbed.,['metaphorical'],['violence_with_object'],False
a cripple,['unspecified'],['motion_forceful'],False
"a sword is going in, and after my left side will swell up ",['unspecified'],['violence_with_object'],False
I was punched in the stomach,"['sensory', 'metaphorical']",['violent_action'],False
someone is scraping me inside with razor blades,['unspecified'],['violence_with_object'],False
something is pushing on my bladder,['unspecified'],['childbirth'],False
 death. I swear I could see the light. ,"['affective', 'metaphorical']",['death'],False
I'm 100. Turning this ship around one step at a time. ,['temporal'],['physical_exertion'],False
air bubbles moving up and down in my back and chest,"['sensory', 'metaphorical']",['motion_forceful'],False
I am not getting a great breath in,"['sensory', 'metaphorical']",['illness'],False
 a pulled muscle,['unspecified'],['violent_action'],False
a dragging sensation,['unspecified'],['motion_forceful'],False
I am 9 months pregnant,['unspecified'],['childbirth'],False
Horrible bearing down pressure ,['unspecified'],['weight_pressure'],False
contraction-like stabbing pain,['metaphorical'],"['violence_with_object', 'childbirth', 'generic_ache']",False
I've been shot in the stomach,"['sensory', 'metaphorical']",['violence_with_object'],False
there's an elephant sitting on my chest,"['sensory', 'metaphorical']",['weight_pressure'],False
to carry a baby and ,['unspecified'],['childbirth'],False
 have its feet sticking up under your ribs,"['sensory', 'metaphorical']",['attacking_agents'],False
someone is stabbing up inside my rectum with a knife...brings me to tears everytime ,['unspecified'],"['violent_action', 'violence_with_object', 'injury']",False
what a baby feels like ,['metaphorical'],['other'],False
everything in my tummy is falling out when I walk,"['sensory', 'metaphorical']",['confinement'],False
ripping my insides out,['unspecified'],['violent_action'],False
I did a lot of crunches,"['affective', 'metaphorical']",['physical_exertion'],False
my bladder is going to burst,['unspecified'],['weight_pressure'],False
labor pains continuous for 7-10 days a month,['unspecified'],"['childbirth', 'generic_ache']",False
I have a coathanger pulling my insides out,['unspecified'],['violent_action'],False
a balloon swelling up inside you ,['unspecified'],['weight_pressure'],False
"a big, a lump of coal",['unspecified'],['heat_temperature'],False
a furnace in your belly,['unspecified'],['heat_temperature'],False
a hot cross bun on my stomach,['unspecified'],['journey'],False
someone putting an iron to ,"['sensory', 'metaphorical']",['heat_temperature'],False
"a huge muscle,like the worst muscle cramp ",['metaphorical'],['other'],False
you're burning but on the inside,['sensory'],['heat_temperature'],False
a pumpkin ,"['sensory', 'metaphorical']",['weight_pressure'],False
a real shooting pain front to back with a knitting needle,['unspecified'],"['violence_with_object', 'motion_forceful', 'generic_ache']",False
a screw is being tightened ,['unspecified'],['motion_violent'],False
"a thin, sharp needle right through",['sensory'],['violence_with_object'],False
but like someone's cutting you ,['metaphorical'],['other'],False
a twisting,['unspecified'],['violent_action'],False
everything's just pulling down,['unspecified'],['violent_action'],False
my whole body can be in pain at the same time. ,['unspecified'],['generic_ache'],False
a storm that passes through your body ,['unspecified'],['weather'],False
agonising,"['affective', 'metaphorical']",['generic_ache'],False
amnesia ...because my talking brain stops being charge an,"['affective', 'metaphorical']",['transformative_state'],False
pushing everything out and away,['unspecified'],['childbirth'],False
someone gripping the botto,['unspecified'],['violent_action'],False
a whole body pain,['unspecified'],['generic_ache'],False
being ripped out ,['unspecified'],['violent_action'],False
burst out ,['unspecified'],['weight_pressure'],False
claws around my womb,"['sensory', 'metaphorical']",['attacking_agents'],False
I'm doomed,"['affective', 'metaphorical']",['death'],False
having a hot poker planted inside of your stomach,['unspecified'],['organic_entity'],False
I had a balloon,['unspecified'],['weight_pressure'],False
I lose my sense of self,['unspecified'],['transformative_state'],False
I was trying to give birth to a pineapple,['unspecified'],['childbirth'],False
I had an operation ...just a general tenderness,['unspecified'],['generic_ache'],False
I'm in labour …I'm giving birth,['unspecified'],['childbirth'],False
I've been run over,"['sensory', 'metaphorical']",['violence_with_object'],False
"I've just done a 12 hour shift on the ward, when I've just woken up","['affective', 'metaphorical']",['physical_exertion'],False
l'm going to shit out my insides ,"['sensory', 'metaphorical']",['confinement'],False
a hot poker or ,['unspecified'],['heat_temperature'],False
 a knife being shoved inside me,['unspecified'],['violence_with_object'],False
it radiates to my knee ,['unspecified'],['motion_forceful'],False
a muscular pain,['unspecified'],['generic_ache'],False
tunnel vision,"['sensory', 'metaphorical']",['sense_impairement'],False
you're burning but on the inside,['sensory'],['heat_temperature'],False
it's very mechanical,['unspecified'],['violence_with_object'],False
unnatural for the environment,['unspecified'],['transformative_state'],False
sort of beyond human consciousness ,"['affective', 'metaphorical']",['transformative_state'],False
someone's just opened turned all the lights on. And you can see and breathe ,"['affective', 'metaphorical']",['sense_impairement'],False
somebody's twisting me,['unspecified'],['violent_action'],False
scraping,['unspecified'],['violence_with_object'],False
two discs or cogs or something like that,['metaphorical'],['other'],False
radiating from the centre,['unspecified'],['motion_forceful'],False
machine. ,"['sensory', 'metaphorical']",['violence_with_object'],False
metal against metal,['unspecified'],['violence_with_object'],False
sparks even,['unspecified'],['heat_temperature'],False
 just like grinding against,['metaphorical'],['other'],False
my insides were being pulled out through me,['unspecified'],['violent_action'],False
my ovary is going ba boom ba boom ba boom,"['sensory', 'metaphorical']",['weight_pressure'],False
my womb is going to explode,['unspecified'],['motion_violent'],False
there's a thousand tiny men stabbing at it [my womb],['unspecified'],['violence_with_object'],False
possesses you  ,['unspecified'],['transformative_state'],False
ripped out ,['unspecified'],['violent_action'],False
my insides were trying to kill me ,['unspecified'],['attacking_agents'],False
somebody has taken hold of the inside of my ribcage and sort of my right side and is just like ,['metaphorical'],['confinement'],False
somebody putting barbed wire through your belly button,"['sensory', 'metaphorical']",['violence_with_object'],False
 in a figure of eight around your pelvis ,"['sensory', 'metaphorical']",['violence_with_object'],False
having a hot poker planted inside of your stomach,['unspecified'],['organic_entity'],False
somebody wants to make it explode somehow,['unspecified'],['motion_violent'],False
somebody's given you an electric shock,['unspecified'],['heat_temperature'],False
somebody's twisting me,['unspecified'],['violent_action'],False
someone gripping the bottom of my spine ,['unspecified'],['violent_action'],False
and crushing my spine continuously for two years,['unspecified'],['violent_action'],False
someone had shoved a poker up your backside ,['unspecified'],['heat_temperature'],False
"someone is in your insides, pulling everything to bits ",['unspecified'],['violent_action'],False
"someone putting a knitting needle through front to back, just straight through",['unspecified'],['violence_with_object'],False
someone putting an iron to your back and it's hot and it actually feels like your skin's,['metaphorical'],['other'],False
someone squeezing your insides,['unspecified'],['violence_with_object'],False
someone was twisting a knife inside me and...kind of winded me,['unspecified'],"['violent_action', 'violence_with_object', 'weather']",False
someone's cutting you ,['unspecified'],['violence_with_object'],False
something's going to pop,"['sensory', 'metaphorical']",['weight_pressure'],False
someone actually burning your skin,['sensory'],['heat_temperature'],False
there was a burning golfball just inside me,['sensory'],['heat_temperature'],False
there's some kind of physical force,"['sensory', 'metaphorical']",['transformative_state'],False
this buzzing thing.,"['sensory', 'metaphorical']",['sense_impairement'],False
screws tightening,['unspecified'],['motion_violent'],False
transcendental. Yeah yeah and nothing else matters. But not in a good way. ,"['affective', 'metaphorical']",['transformative_state'],False
waves ,['unspecified'],['weather'],False
someone punching my cervix,"['affective', 'metaphorical']",['violent_action'],False
contractions,['unspecified'],['childbirth'],False
you can't hear anything,"['affective', 'metaphorical']",['sense_impairement'],False
something pulsing,['unspecified'],['motion_forceful'],False
your insides are exploding,['unspecified'],['motion_violent'],False
somebody wants to make it explode somehow,['unspecified'],['motion_violent'],False
metal wool on the inside of your stomach ,['unspecified'],['violence_with_object'],False
when someone has long nails against a chalk board,"['affective', 'metaphorical']",['sense_impairement'],False
you want to die,['unspecified'],['death'],False
my insides were being pulled out through me,['unspecified'],['violent_action'],False
you're dragging your insides,['unspecified'],['motion_forceful'],False
your insides are gonna fall out on the floor,"['sensory', 'metaphorical']",['confinement'],False
"you're in the early stages of labour, sort of puffing and panting, contracting, burning",['sensory'],"['heat_temperature', 'childbirth']",False
you're being carved out like a pumpkin,['metaphorical'],['other'],False
you're burning but on the inside,['sensory'],['heat_temperature'],False
toothache pain in your back,['unspecified'],['generic_ache'],False
your insides are exploding,['unspecified'],['motion_violent'],False
your insides are gonna fall out on the floor,"['sensory', 'metaphorical']",['confinement'],False
your ovaries are just gonna like burst out  ,['metaphorical'],['other'],False
your skin's hot but it's on the inside,['unspecified'],['heat_temperature'],False
someone is inside of me,"['sensory', 'metaphorical']",['attacking_agents'],False
"someone's driven a knife into my side, or",['unspecified'],['violence_with_object'],False
hammered or ,['unspecified'],['violence_with_object'],False
 screwed ,['unspecified'],['motion_violent'],False
a storm that passes through your body  ,['unspecified'],['weather'],False
Someone taking a rake to my uterus or ,"['sensory', 'metaphorical']",['violence_with_object'],False
someone stabbing me repeatedly with a large knife,['unspecified'],['violence_with_object'],False
there is a large knife/sword just sticking in my side at all times,['unspecified'],['violence_with_object'],False
something is stuck in my abdomen but it has no way of getting out,['unspecified'],['journey'],False
 I've got a balloon inside me pushing on everything,['unspecified'],['childbirth'],False
multiple knives stabbing me in my ovaries,['unspecified'],['violence_with_object'],False
a slow grind ,['unspecified'],['violence_with_object'],False
with vice grips,['unspecified'],['violent_action'],False
heavy as a bowling ball ,['unspecified'],['weight_pressure'],False
 pressing against my bowels,['unspecified'],['weight_pressure'],False
I thought I was losing my mind,['unspecified'],['transformative_state'],False
tiny men playing,"['sensory', 'metaphorical']",['attacking_agents'],False
 tug-a-war ,['unspecified'],['conflict'],False
with barb wire,"['sensory', 'metaphorical']",['violence_with_object'],False
a knife jabbed in your stomach,['unspecified'],['violence_with_object'],False
I feel chained down by my flesh prison,['unspecified'],['confinement'],False
being gutted by an invisible knife for 5 days,['unspecified'],['violence_with_object'],False
someone is squeezing or,['unspecified'],['violence_with_object'],False
jabbing my womb and at times like my womb is trying to pull away from my body,['metaphorical'],['violent_action'],False
a rake or a cheese grater is scraping my insides,['unspecified'],['violence_with_object'],False
like my abdomen is filed with blood and could burst open,['metaphorical'],['other'],False
a heavy weight in your pelvis & upper legs is puling you down,['unspecified'],['weight_pressure'],False
my insides are being ripped apart when i walk ,['unspecified'],['violent_action'],False
knitting needles being pushed through your abdomen,['unspecified'],"['violence_with_object', 'childbirth']",False
if I move I'll rip,['unspecified'],['violent_action'],False
there's a balloon inflated inside me ,['unspecified'],['weight_pressure'],False
 squashing everything and putting pressure on my bladder and other organs,['unspecified'],['violence_with_object'],False
A t-rex has been unleashed on my insides,"['sensory', 'metaphorical']",['attacking_agents'],False
a vice is gripping my insides and if I move the vice gets tighter,['unspecified'],['violent_action'],False
my insides are swollen and trying to escape,"['sensory', 'metaphorical']",['confinement'],False
a hedgehog is running around my uterus,"['sensory', 'metaphorical']",['violent_motion'],False
I just want to rip my insides out,['unspecified'],['violent_action'],False
there's a hot coal rollin around in my uterus,['unspecified'],['heat_temperature'],False
my internal organs try to strangle each other,"['sensory', 'metaphorical']",['violent_action'],False
My insides are on fire.,['unspecified'],['heat_temperature'],False
I'm not just under the weather. I'm the Wicked Witch of the East UNDER the house the weather threw at me,"['affective', 'metaphorical']",['transformative_state'],False
"a violent, sporadic, samurai sword massacre in & around your delicates. ",['unspecified'],['violence_with_object'],False
a ninja is cutting apart my insides ,['unspecified'],['violence_with_object'],False
a swarm of angry european wasps invade your uterus,"['sensory', 'metaphorical']",['attacking_agents'],False
my uterus and other pelvic organs are trying to claw their way out.  ,"['sensory', 'metaphorical']",['violent_action'],False
Sometimes using a white hot poker. ,['unspecified'],['heat_temperature'],False
Uterus will feel heavy,['unspecified'],['weight_pressure'],False
you peeled a grape and the remaining flesh is painful,['unspecified'],['generic_ache'],False
waves of cramp,['unspecified'],['weather'],False
my internal organs have been pulverized,"['sensory', 'metaphorical']",['violent_action'],False
I am in labour but without having a break between contractions,['unspecified'],"['injury', 'childbirth']",False
my organs are going to fall out of my vagina,"['sensory', 'metaphorical']",['confinement'],False
something is bursting to get out.,['unspecified'],['weight_pressure'],False
someone has stabbed me in the stomach,['unspecified'],['violence_with_object'],False
my insides are being rung out,"['sensory', 'metaphorical']",['violent_action'],False
my insides are twisting ,['unspecified'],['violent_action'],False
when I walk then ripping inside me,['unspecified'],['violent_action'],False
Insides falling out ,"['sensory', 'metaphorical']",['confinement'],False
while on fire ,['unspecified'],['heat_temperature'],False
with acid.,['unspecified'],['heat_temperature'],False
someone is just slowly sinking burning things into me,['sensory'],"['weight_pressure', 'heat_temperature']",False
and twisting them around and around. ,['unspecified'],['violent_action'],False
" I'm carrying knives in my uterus, and if I bend over I'm stabbed deeper",['unspecified'],['violence_with_object'],False
there's a demon inside trying to claw it's way out.,['unspecified'],['attacking_agents'],False
a stitch I got years ago. ,"['sensory', 'metaphorical']",['confinement'],False
lots of needles cramping up inside of my pelvis,['unspecified'],['violence_with_object'],False
somebody is pulling your pelvic down so strongly,['unspecified'],['violent_action'],False
sharp knives or ,['sensory'],['other'],False
an electric shock playing in the pelvic area.,['unspecified'],['heat_temperature'],False
"Glass shards,","['sensory', 'metaphorical']",['violence_with_object'],False
 electric shocks,['unspecified'],['heat_temperature'],False
someone is twisting my insides and won't let their grip go. ,['unspecified'],['violent_action'],False
It's a warm feeling the spreads throughout the back and abdomen.,['unspecified'],"['illness', 'organic_entity']",False
someone is ripping my insides out ,['unspecified'],['violent_action'],False
with barbwire ,['unspecified'],['violence_with_object'],False
a pressure or soreness with stabs of pain in the uterus area. ,['unspecified'],"['violence_with_object', 'generic_ache']",False
something is shuddering inside,"['sensory', 'metaphorical']",['violent_motion'],False
someone has shoved a sword or a poker into me jabbing away. ,['unspecified'],"['violence_with_object', 'heat_temperature']",False
when a cat steps on your full bladder but heavier and you don't need a wee.,"['sensory', 'metaphorical']",['weight_pressure'],False
an elephant is sitting on my abdomen sometimes,"['sensory', 'metaphorical']",['weight_pressure'],False
"a toxic, flesh-eating pufferfish ","['sensory', 'metaphorical']",['attacking_agents'],False
"pulsating inside me,","['sensory', 'metaphorical']",['violent_motion'],False
 scraping away at me. ,['unspecified'],['violence_with_object'],False
an army of molten spiders are strolling around ,['unspecified'],['heat_temperature'],False
an army of molten spiders are strolling around ,['unspecified'],['heat_temperature'],False
an army of molten spiders are strolling around ,['unspecified'],['heat_temperature'],False
 with flame torches closely examining the damage on the walls of my womb.,['unspecified'],['heat_temperature'],False
labor ,['unspecified'],['childbirth'],False
being stabbed repeatedly.,['unspecified'],['violence_with_object'],False
being crushed.,['unspecified'],['violent_action'],False
someone has a hold of your pelvis/cervix and are pulling really hard.,['unspecified'],"['violent_action', 'confinement']",False
"I'm being stabbed,",['unspecified'],['violence_with_object'],False
 ripped apart,['unspecified'],['violent_action'],False
 punched all at once. ,"['sensory', 'metaphorical']",['violent_action'],False
It burns like the skin is being pulled away.,"['sensory', 'metaphorical']","['violent_action', 'heat_temperature']",False
someone is stabbing me. ,['unspecified'],['violence_with_object'],False
someone is pushing down hard and not letting up.  ,['unspecified'],['childbirth'],False
someone stabbing me repeatedly ,['unspecified'],['violence_with_object'],False
someone is squeezing my muscles and nerves and not letting go. ,['unspecified'],['violence_with_object'],False
my insides are being ripped apart,['unspecified'],['violent_action'],False
"a bolt of lightning, shoots up my spine when trying to pass bowel movements",['unspecified'],"['weather', 'motion_forceful']",False
when a car I'm in goes over a bump (or even just a non-paved road). ,['unspecified'],['journey'],False
someone with red hot pokers for fingers,['unspecified'],['heat_temperature'],False
 dug into my lower abdomen and ,"['sensory', 'metaphorical']",['violence_with_object'],False
 is trying to pull my insides out through my vagina.,['unspecified'],['violent_action'],False
"I'm being cut, over and over again in my stomach ",['unspecified'],['violence_with_object'],False
I have loads of gnawing teeth inside trying to eat there way out. ,['unspecified'],['weight_pressure'],False
I am about to give birth to my internal organs.,['unspecified'],['childbirth'],False
something has burst and,['unspecified'],['weight_pressure'],False
 it's destroying everything,"['sensory', 'metaphorical']",['violent_action'],False
 as it spreads,['unspecified'],"['illness', 'organic_entity']",False
someone's slowly trying to rip my organs out,['unspecified'],['violent_action'],False
my insides are wrapped in red-hot,['unspecified'],"['confinement', 'heat_temperature']",False
 barbed wire. ,"['sensory', 'metaphorical']",['violence_with_object'],False
I'm being stabbed in the stomach ,['unspecified'],['violence_with_object'],False
or someone is grabbing my insides,['unspecified'],['violence_with_object'],False
red hot pokers inside my tummy ,['unspecified'],['heat_temperature'],False
being twisted constantly ,['unspecified'],['violent_action'],False
"I did a million crunches, ","['sensory', 'metaphorical']",['physical_exertion'],False
and like i haven't slept for days ,['metaphorical'],['other'],False
"Everything feels angry, ","['affective', 'metaphorical']",['attacking_agents'],False
and on fire. ,['unspecified'],['heat_temperature'],False
Like barbed wire.,['metaphorical'],['other'],False
there's an alien trying to get out of me.   ,"['sensory', 'metaphorical']",['attacking_agents'],False
a skewer ,"['sensory', 'metaphorical']",['violence_with_object'],False
has been pushed inside of me ,['unspecified'],['childbirth'],False
"and speared through my ovaries, uterus etc. ",['unspecified'],['violence_with_object'],False
being tattooed on the inside.,"['sensory', 'metaphorical']",['violence_with_object'],False
Some scratching my insides,"['sensory', 'metaphorical']",['violence_with_object'],False
a knife was piercing it.,['unspecified'],['violence_with_object'],False
being stabbed with safety scissors from the inside ,['unspecified'],['violence_with_object'],False
you just ran a marathon and need to lie down. ,"['sensory', 'metaphorical']",['physical_exertion'],False
Sometimes it feels like a hot poker ,['metaphorical'],['other'],False
or barbed wire is inside,"['sensory', 'metaphorical']",['violence_with_object'],False
a charly horse ,"['sensory', 'metaphorical']",['violence_with_object'],False
an elephant is sitting on my back or stomach,"['sensory', 'metaphorical']",['weight_pressure'],False
I'm pregnant. ,['unspecified'],['childbirth'],False
a wash cloth being rung out over and over again,"['sensory', 'metaphorical']",['violent_action'],False
a hot poker ,['unspecified'],['heat_temperature'],False
is being drilled through me. ,['unspecified'],['violence_with_object'],False
a sharp rod is being forced into my rectum. ,['sensory'],['other'],False
I'm being turned inside out. ,"['affective', 'metaphorical']",['transformative_state'],False
something inside will burst/rupture. ,['unspecified'],['weight_pressure'],False
my pelvic area is always heavy.,['unspecified'],['weight_pressure'],False
blisters  ,['unspecified'],['heat_temperature'],False
Braxton Hicks contractions,['unspecified'],['childbirth'],False
all over body pain when inflamed,['unspecified'],"['illness', 'generic_ache']",False
my lower back and stomach is trying to break free from the rest of my body,['unspecified'],['injury'],False
being stabbed with a rusty ice pick,['unspecified'],"['violence_with_object', 'heat_temperature']",False
my intestines were being tugged out of my anus when I had my period ,"['sensory', 'metaphorical']",['violent_action'],False
Freddy kugker playing hockey in my stomach. ,"['sensory', 'metaphorical']",['motion_forceful'],False
hockey in my stomach. ,"['sensory', 'metaphorical']",['motion_forceful'],False
I'm trying to give birth to my spine ,['unspecified'],['childbirth'],False
my insides are battling between themselves ,['unspecified'],['conflict'],False
using sharp tools. ,['sensory'],['other'],False
somebody is strangling my womb,"['sensory', 'metaphorical']",['violent_action'],False
"I become possessed by pain, like I am someone else that takes possession of my usual self",['metaphorical'],['generic_ache'],False
I am outside my body and my consciousness ,"['affective', 'metaphorical']",['transformative_state'],False
my uterus/bowel is being squeezed inside a Panini press. ,['unspecified'],['weight_pressure'],False
 And sometimes it feels like the panini press have spikes attached,['metaphorical'],['weight_pressure'],False
someone slowly stretching me apart some days,"['sensory', 'metaphorical']",['violent_action'],False
everything is dragging ,['unspecified'],['motion_forceful'],False
and going to fall out of me. ,"['sensory', 'metaphorical']",['motion_forceful'],False
my ovaries are at war with each other ,['unspecified'],['conflict'],False
Barbed wire and,"['sensory', 'metaphorical']",['violence_with_object'],False
a red hot poker up inside.,['unspecified'],['heat_temperature'],False
someone is smashing me with a hammer and glass,['unspecified'],['violent_action'],False
 and glass,"['sensory', 'metaphorical']",['violence_with_object'],False
someone is stabbing me in the vagina ,['unspecified'],['violence_with_object'],False
with a hot poker. ,['unspecified'],['heat_temperature'],False
a concrete block in my stomach weighing me down. ,"['sensory', 'metaphorical']",['weight_pressure'],False
I have  ball in blown up inside my stomach that's ready to burst ,['unspecified'],['weight_pressure'],False
balloon,['unspecified'],['weight_pressure'],False
 has gathered weight and is about to fall out through my bum.  ,['unspecified'],['weight_pressure'],False
It feels like a hot poker is sitting off them .,['metaphorical'],['other'],False
there's an iron bar put up through me. ,['unspecified'],['confinement'],False
a ball of pressure ,"['sensory', 'metaphorical']",['weight_pressure'],False
someone stabbing ,['unspecified'],['violence_with_object'],False
and cutting my stomach out and body up in 10 pieces.,['unspecified'],['violence_with_object'],False
seriously hot water dripping inside me ,['unspecified'],['heat_temperature'],False
 and burning,['sensory'],['heat_temperature'],False
your insides are ripped out and,['unspecified'],['violent_action'],False
 and turned around,"['sensory', 'metaphorical']",['motion_forceful'],False
someone poured petrol on me and set me on fire. ,['unspecified'],['heat_temperature'],False
Someone took a sharp kitchen knife and stabbed me repeatedly in the groin/pelvis. ,['sensory'],['violence_with_object'],False
Someone took a red hot poker ,['unspecified'],['heat_temperature'],False
and ripped open my section scar repeatedly.  ,['unspecified'],"['violent_action', 'injury']",False
something is eating me from the inside out.  ,"['sensory', 'metaphorical']",['attacking_agents'],False
A pain that radiates outwards ,['unspecified'],"['motion_forceful', 'generic_ache']",False
"makes me nauseated, dizzy and dissociated from my body.  ",['sensory'],['illness'],False
my organs are trying to birth themselves through various orrifices. ,['unspecified'],['childbirth'],False
someone took my insides and stepped on them threw them around rode a bike over them and then put back in my body. ,"['sensory', 'metaphorical']",['violence_with_object'],False
someone is stabbing me the whole time ,['unspecified'],['violence_with_object'],False
I'm being squeezed by a cobra or some big snake and can't move until it loosens up. ,['unspecified'],['violence_with_object'],False
a bruised feeling.,['unspecified'],['injury'],False
tiny blisters on the inside of my body that I would do anything to take out,['unspecified'],['heat_temperature'],False
something has ruptured,"['sensory', 'metaphorical']",['violent_action'],False
it has come back with a Vengeance to Derail me. ,"['affective', 'metaphorical']",['attacking_agents'],False
someone is grabbing my intestines and ,['unspecified'],['violence_with_object'],False
squeezing/,['unspecified'],['violence_with_object'],False
twisting them.  ,['unspecified'],['violent_action'],False
carpet burns all over my insides.  ,['sensory'],['heat_temperature'],False
"I have food poisoning, but I know it isn't, it is just morning with bowel endo.  ",['unspecified'],['illness'],False
your insides are going to fall out.,"['sensory', 'metaphorical']",['confinement'],False
there is a spikey ball rattling around heading off things. ,"['sensory', 'metaphorical']",['violence_with_object'],False
Like someone is pulling on my belly button from the inside.,['metaphorical'],['violent_action'],False
a dentist is picking at plaque ,"['sensory', 'metaphorical']",['violence_with_object'],False
there is a knife scraping at my insides.,['unspecified'],['violence_with_object'],False
a hot poker has been inserted inside of me and ,['unspecified'],['heat_temperature'],False
being waved all about and ,['unspecified'],['weather'],False
and stabbing areas at random.,['unspecified'],['violence_with_object'],False
"you have been hit by a car, ",['unspecified'],['violence_with_object'],False
 you're internally bruised but nothing to show of it.,['unspecified'],['injury'],False
When I have a bowel motion it feels like passing broken glass. ,['metaphorical'],['other'],False
When I have period pain it feels like someone is stabbing me in the pelvis with a knife.,['metaphorical'],"['violence_with_object', 'generic_ache']",False
someone has a knife and is stabbing me up my back passage. ,['unspecified'],['violence_with_object'],False
something is constantly tugging on my left ovary ,"['sensory', 'metaphorical']",['violent_action'],False
toothache but throughout my abdomen.,['unspecified'],['generic_ache'],False
Sometimes being kicked or ,"['sensory', 'metaphorical']",['violent_action'],False
 or something being forcefully jammed in the vagina.,"['sensory', 'metaphorical']",['violence_with_object'],False
having an awful bruise that is continually irritated and won't heal.,['unspecified'],['injury'],False
 At times the ache is sharper,['sensory'],['generic_ache'],False
something is clenching and ,['unspecified'],['violence_with_object'],False
and yanking my whole abdomen,"['sensory', 'metaphorical']",['violent_action'],False
It feels like there is a broken G as bottle ,['metaphorical'],['other'],False
 getting poked ,"['sensory', 'metaphorical']",['violent_action'],False
and scrapped around my pelvis.  ,"['sensory', 'metaphorical']",['violence_with_object'],False
Sharp metal grinding against itself,['sensory'],['other'],False
 cogs or machine parts. ,"['sensory', 'metaphorical']",['violence_with_object'],False
 Waves of,['unspecified'],['weather'],False
 pulsating pain.,['unspecified'],['generic_ache'],False
 Eruptions.,"['sensory', 'metaphorical']",['weight_pressure'],False
my inner organs are being flayed,"['sensory', 'metaphorical']",['violence_with_object'],False
like a sharp knife in inserted and twisted in my womb,"['sensory', 'metaphorical']","['violent_action', 'violence_with_object']",False
